"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"LOWNDES",38204,53910,0.708662585791133,15064,37628,0.400340172212182,21635,0.574970766450516
"LUMPKIN",12560,15618,0.804200281726213,2220,12334,0.179990270796173,9619,0.779876763418194
"MACON",4321,6012,0.718729208250166,2705,4287,0.63097737345463,1540,0.359225565663634
"MADISON",12114,15118,0.801296467786744,2425,11954,0.202860967040321,9201,0.769700518654844
"MARION",3215,4224,0.761126893939394,1213,3183,0.381087024819353,1921,0.603518693056865
"MCDUFFIE",9355,11967,0.781733099356564,3699,9268,0.399115235217954,5432,0.586102719033233
"MCINTOSH",5980,9126,0.655270655270655,2303,5903,0.390140606471286,3487,0.590716584787396
"MERIWETHER",9283,12166,0.763028111129377,3804,9191,0.413883146556414,5222,0.568164508758568
"MILLER",2563,3461,0.740537416931523,623,2544,0.244889937106918,1891,0.743317610062893
"MITCHELL",7930,10761,0.736920360561286,3493,7865,0.44411951684679,4279,0.544055944055944
"MONROE",12815,16098,0.796061622561809,3571,12687,0.28146922046189,8832,0.696145660912745
"MONTGOMERY",3595,4681,0.767998290963469,847,3562,0.23778775968557,2670,0.74957888826502
"MORGAN",9582,11471,0.835323860169122,2663,9440,0.282097457627119,6559,0.694809322033898
"MURRAY",12555,16466,0.7624802623588,1800,12424,0.144880875724404,10341,0.832340631036703
"MUSCOGEE",69817,100700,0.693316782522344,39851,68658,0.580427626787847,26976,0.392903958752076
"NEWTON",44357,58302,0.760814380295702,21943,43803,0.500947423692441,20913,0.477433052530649
"OCONEE",20476,24058,0.851109817939978,5581,19931,0.280016055391099,13425,0.673573829712508
"OGLETHORPE",6755,8087,0.835291208111784,1831,6655,0.275131480090158,4625,0.694966190833959
"PAULDING",65636,82336,0.797172561212592,18025,64641,0.278847790102257,44662,0.690923717145465
"PEACH",10848,14630,0.74149008885851,5100,10724,0.475568817605371,5413,0.504755688176054
"PICKENS",14174,17319,0.818407529303078,1979,13984,0.141518878718535,11651,0.83316647597254
"PIERCE",7360,9283,0.792847139933211,903,7298,0.123732529460126,6302,0.86352425322006
"PIKE",8793,10620,0.827966101694915,1240,8681,0.142840686556848,7278,0.83838267480705
"POLK",14323,20268,0.706680481547267,2867,14170,0.202328863796754,11014,0.7772759350741
"PULASKI",3631,4720,0.769279661016949,1104,3599,0.306751875520978,2437,0.677132536815782
"PUTNAM",9573,13964,0.685548553423088,2758,9472,0.291173986486486,6544,0.690878378378378
"QUITMAN",1053,1431,0.735849056603773,461,1044,0.441570881226054,575,0.550766283524904
"RABUN",8110,9884,0.820518008903278,1444,7950,0.181635220125786,6287,0.790817610062893
"RANDOLPH",2922,3914,0.746550843127235,1598,2897,0.551605108733172,1271,0.438729720400414
"RICHMOND",76304,105642,0.722288483746995,48814,75086,0.65010787630184,24461,0.325773113496524
"ROCKDALE",38229,50003,0.764534127952323,23255,37656,0.617564265986828,13478,0.357924367962609
"SCHLEY",1929,2364,0.815989847715736,401,1909,0.210057621791514,1472,0.771084337349398
"SCREVEN",5756,7512,0.766240681576145,2300,5699,0.403579575364099,3305,0.579926302860151
"SEMINOLE",3619,4905,0.737818552497452,1189,3582,0.331937465103294,2345,0.654662199888331
"SPALDING",25914,34832,0.743971061093248,9357,25600,0.3655078125,15646,0.611171875
"STEPHENS",9932,13132,0.756320438623211,1837,9766,0.188101576899447,7686,0.787016178578743
"STEWART",2084,2917,0.714432636270141,1222,2055,0.594647201946472,805,0.391727493917275
"SUMTER",11101,15181,0.731243001119821,5520,10974,0.503007107709131,5276,0.480772735556771
"TALBOT",3278,4138,0.792170130497825,2002,3244,0.617139334155364,1196,0.368680641183724
"TALIAFERRO",904,1157,0.78133102852204,545,897,0.607580824972129,349,0.389074693422519
"TATTNALL",6986,9299,0.75126357672868,1681,6886,0.244118501307,5096,0.740052279988382
"TAYLOR",3432,4372,0.784995425434584,1296,3405,0.380616740088106,2064,0.606167400881057
"TELFAIR",3827,5029,0.760986279578445,1313,3795,0.345981554677207,2450,0.645586297760211
"TERRELL",4233,5871,0.72100153295861,2267,4181,0.542214781152834,1874,0.448218129634059
"THOMAS",18986,24693,0.768881869355688,7142,18738,0.38115060305262,11228,0.599210161169815
"TIFT",14334,19040,0.752836134453781,4347,14175,0.306666666666667,9584,0.676119929453263
"TOOMBS",9206,15146,0.607817245477354,2338,9111,0.256612885522994,6615,0.726045439578531
"TOWNS",6858,8608,0.796700743494424,1210,6739,0.179551862294109,5383,0.798783202255528
"TREUTLEN",2729,3773,0.723297111052213,862,2703,0.31890492045875,1809,0.669256381798002
"TROUP",26334,35513,0.741531270239067,9713,26024,0.373232400860744,15750,0.605210574853981
"TURNER",3414,4552,0.75,1246,3394,0.367118444313494,2095,0.617265763111373
"TWIGGS",4089,5291,0.772821772821773,1971,4056,0.48594674556213,2035,0.5017258382643
"UNION",12230,14370,0.851078636047321,1963,12044,0.162985719030223,9852,0.818000664231152
"UPSON",11032,14058,0.784748897424954,3475,10934,0.317815986830071,7292,0.666910554234498
"WALKER",24526,32951,0.74431731965646,4215,23956,0.175947570546001,18950,0.791033561529471
"WALTON",40986,51318,0.798667134338829,8292,40472,0.204882387823681,31125,0.769050207550899
"WARE",12282,16254,0.75562938353636,3440,12159,0.282918003125257,8513,0.700139814129452
