county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Holmes,11654,17938,0.649682238822611,1788,10997,0.162589797217423,8720,0.7929435300536509,7953,18286,0.4349228918298152,1605,7953,0.2018106374952848,6259,0.7869986168741355
Huron,25343,35732,0.7092522109033922,7192,24777,0.29026920127537603,16226,0.654881543366832,15791,36886,0.4281028032315784,5936,15791,0.3759103286682287,9641,0.6105376480273573
Jackson,13951,21235,0.6569813986343299,3226,13687,0.23569810769343202,9949,0.726894133119018,10266,21013,0.4885547042307144,2663,10266,0.2593999610364309,7502,0.7307617377751802
Jefferson,32904,47714,0.689608919813891,9675,32023,0.30212659650875895,21117,0.6594322830465601,17980,48167,0.3732846139473083,7336,17980,0.4080088987764182,10434,0.5803114571746385
Knox,29278,40590,0.721310667652131,8171,28610,0.285599440754981,19131,0.668682278923453,19719,42320,0.4659499054820416,6992,19719,0.3545818753486485,12496,0.6337035346620011
Lake,118729,155424,0.7639039015853409,46397,115953,0.400136262106198,64255,0.554146938845912,82258,163936,0.5017689830177631,42095,82258,0.5117435386223832,39311,0.4778988061951421
Lawrence,27239,44143,0.6170627279523371,6974,26554,0.262634631317316,18689,0.703811101905551,14294,44119,0.3239873977198033,4988,14294,0.34895760458933817,9156,0.6405484818805093
Licking,84629,117019,0.7232073423973879,27376,82512,0.33178204382392895,51241,0.6210127011828579,59696,124208,0.4806131650135257,25396,59696,0.425422138836773,33462,0.5605400696864111
Logan,22019,30684,0.7176052665884499,4647,21517,0.21596876888042002,15957,0.7415996653808621,0,32218,0.0,0,0,0.0,0,0.0
Lorain,143296,206401,0.694260202227702,66949,140305,0.47716759915897494,66818,0.476233918962261,96723,218501,0.4426661662875685,56492,96723,0.5840596342131654,39189,0.4051673335194318
Lucas,200973,300920,0.6678618902033759,110833,197050,0.562461304237503,75698,0.38415630550621704,93196,299794,0.3108667951993702,68000,93196,0.7296450491437401,24113,0.25873428044122065
Madison,17685,24035,0.7358019554815891,4779,17205,0.277768090671316,11631,0.6760244115082831,5788,25827,0.22410655515545747,2589,5788,0.44730476848652384,3102,0.5359364201796821
Mahoning,117636,166107,0.708194115840994,57381,114908,0.499364709158631,53616,0.466599366449681,67800,165259,0.4102650990263768,42042,67800,0.6200884955752213,25133,0.37069321533923305
Marion,26885,39530,0.680116367315963,7928,26271,0.30177762551863296,16961,0.6456168398614439,0,40262,0.0,0,0,0.0,0,0.0
Medina,93198,121238,0.7687193784127091,32182,91071,0.35337264332224294,54810,0.6018381262970649,64012,130169,0.4917607110756017,30370,64012,0.4744422920702368,32943,0.5146378803974255
Meigs,10192,15148,0.672828096118299,2260,9978,0.22649829625175402,7309,0.732511525355783,0,15414,0.0,0,0,0.0,0,0.0
Mercer,22053,28731,0.7675681319828759,3384,21682,0.15607416290010098,17506,0.8073978415275341,15432,29398,0.5249336689570719,3334,15432,0.2160445826853292,11941,0.7737817522032141
Miami,53567,72257,0.7413399393830359,13120,52580,0.249524534043362,37079,0.705192088246482,36305,75470,0.4810520736716576,12367,36305,0.340641784878116,23459,0.6461644401597576
Monroe,7040,9641,0.7302147080178409,1662,6792,0.24469964664310898,4868,0.716725559481743,4144,9572,0.4329293773506059,1261,4144,0.3042953667953668,2848,0.6872586872586872
Montgomery,261989,372674,0.7029977943188951,122016,257499,0.47385038388498607,123909,0.48120186874512105,154486,372139,0.4151298305203163,98064,154486,0.6347759667542691,54541,0.3530481726499489
Morgan,6607,9005,0.7337034980566349,1736,6441,0.269523365936966,4431,0.6879366557987889,6183,9262,0.6675664003454977,1802,6183,0.29144428271065825,3498,0.5657447840853954
Morrow,16820,24860,0.6765888978278362,3761,16481,0.22820217219828895,11948,0.724956009950853,10336,25186,0.4103867227824982,3069,10336,0.2969233746130031,7121,0.6889512383900929
Muskingum,37708,53925,0.699267501159017,11123,36924,0.301240385657025,24056,0.6515003791571881,24072,55078,0.4370529067867388,8825,24072,0.3666085078099036,14948,0.6209704220671319
Noble,6165,8117,0.759517062954293,1221,6009,0.20319520718921602,4549,0.757031119986687,0,8138,0.0,0,0,0.0,0,0.0
Ottawa,22678,29606,0.765993379720327,8285,22182,0.373501036876747,12653,0.570417455594626,0,30442,0.0,0,0,0.0,0,0.0
Paulding,9220,12699,0.7260414205842979,2093,9028,0.23183429330970298,6500,0.7199822773593271,5735,12811,0.4476621653266724,1665,5735,0.2903225806451613,3993,0.6962510897994769
Perry,15337,22087,0.694390365373296,4138,14979,0.276253421456706,10228,0.682822618332332,9445,22541,0.41901424071691584,3018,9445,0.31953414505029115,6324,0.6695606140815246
Pickaway,25257,34056,0.741631430584919,6529,24655,0.26481443926181303,17076,0.692597850334618,15427,36306,0.4249159918470776,5228,15427,0.3388863680560057,10034,0.6504180981396254
Pike,12218,18243,0.6697363372252371,3539,11865,0.29827222924568103,7902,0.665992414664981,8928,18124,0.4926064886338557,2618,8928,0.2932347670250896,6234,0.698252688172043
Portage,77602,107183,0.7240140693953331,32397,76034,0.42608569850330097,39971,0.5256990293815921,0,108884,0.0,0,0,0.0,0,0.0
Preble,20887,27815,0.750925759482294,4325,20552,0.210441806150253,15446,0.7515570260801869,0,28654,0.0,0,0,0.0,0,0.0
Putnam,19161,23507,0.815118900752967,2922,18712,0.156156477126977,14961,0.799540401881146,12028,23859,0.5041284211408693,2393,12028,0.1989524442966412,9476,0.7878284003990689
Richland,56106,81942,0.684703814893461,16085,55052,0.29217830414880497,36590,0.664644336263896,37766,82754,0.4563646470261256,13670,37766,0.3619657893343219,23680,0.6270190118095642
Ross,30935,44003,0.703020248619412,10356,30314,0.341624331991819,18652,0.615293263838491,0,46037,0.0,0,0,0.0,0,0.0
Sandusky,28688,39691,0.722783502557255,9929,28009,0.354493198614731,16316,0.582527044878432,0,40470,0.0,0,0,0.0,0,0.0
Scioto,31513,46386,0.679364463415686,9132,30763,0.29685011214771,20550,0.6680102720800961,18793,46120,0.4074804856895056,6432,18793,0.3422550949821742,12183,0.6482732932474857
Seneca,24568,34399,0.714206808337452,7404,23960,0.309015025041736,14825,0.618739565943239,0,34413,0.0,0,0,0.0,0,0.0
Shelby,24116,33984,0.709628060263653,4243,23684,0.17915048133761202,18590,0.7849180881607841,0,32843,0.0,0,0,0.0,0,0.0
Stark,178605,249902,0.7147001624636858,68146,174682,0.39011460825958,98388,0.5632406315476121,38835,252972,0.15351501351928276,17486,38835,0.4502639371700785,21006,0.5409038238702202
Summit,263518,360766,0.7304402299551509,134256,257125,0.522142926592125,112026,0.435686922702965,149069,379673,0.39262470599700267,102219,149069,0.6857160107064514,45298,0.3038727032448061
Trumbull,97700,140077,0.6974735324143149,43014,95911,0.448478276735724,49024,0.511140536539083,61380,136895,0.448372840498192,34225,61380,0.5575920495275334,26505,0.4318181818181818
Tuscarawas,42154,58365,0.722247922556327,12188,41260,0.29539505574406205,26918,0.652399418322831,5933,59638,0.09948355075622924,2080,5933,0.3505814933423226,3803,0.6409910669138715
Union,27959,36206,0.7722200740208809,7718,27261,0.283115072814644,18096,0.663805436337625,23940,41432,0.5778142498551844,9247,23940,0.3862573099415205,14293,0.5970342522974101
Van Wert,14062,19668,0.714968476713443,2697,13769,0.19587479119761803,10469,0.7603311787348391,0,20291,0.0,0,0,0.0,0,0.0
Vinton,5662,8349,0.678165049706552,1351,5502,0.24554707379134902,3883,0.7057433660487099,3479,8627,0.4032688072331054,969,3479,0.2785283127335441,2479,0.7125610807703363
Warren,119450,152192,0.7848638561816651,33730,116764,0.288873282861156,77643,0.6649566647254289,88884,167606,0.5303151438492656,36944,88884,0.4156428603573197,50860,0.5722064713559246
Washington,30567,42319,0.722299676268343,8026,29824,0.26911212446351895,20514,0.6878353004291851,17392,42774,0.4066021414878197,6668,17392,0.3833946642134313,10491,0.6032083716651334
Wayne,50845,74772,0.680000534959611,15031,49616,0.30294663011931605,32270,0.650395033860045,29171,74470,0.3917147844769706,12020,29171,0.4120530664015632,16809,0.5762229611600562
Williams,17670,24736,0.7143434670116429,4358,17261,0.25247668153641195,11939,0.691674873993396,6982,25515,0.2736429551244366,1743,6982,0.24964193640790605,5143,0.7366084216556861
Wood,65551,93751,0.699203208499109,27318,64113,0.42609143231481894,32498,0.506886278913793,40012,93149,0.4295483580070639,22483,40012,0.5619064280715785,16952,0.4236728981305608
Wyandot,10733,15586,0.688630822533042,2515,10568,0.23798258894776697,7468,0.70666161998486,0,15491,0.0,0,0,0.0,0,0.0
STATEWIDE,5607641,7861025,0.713347305217831,2394164,5480173,0.43687744894184904,2841005,0.518415203315662,2666854,8073829,0.3303084571149575,1473340,2666854,0.5524636894258178,1162334,0.435844631914608
