county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Oscoda,4365,6768,0.6449468085106379,1044,4062,0.257016248153619,2843,0.699901526341704,4874,7290,0.6685871056241427,1342,4874,0.275338530980714,3466,0.7111202297907263
Otsego,12742,21009,0.6065019753439,3556,12529,0.28382153404102506,8266,0.6597493814350711,14756,22985,0.6419839025451382,4743,14756,0.32142857142857145,9779,0.6627134724857685
Ottawa,144902,197977,0.731913303060457,44973,141905,0.31692329375286304,88467,0.6234241217716079,168627,220133,0.7660232677517682,64705,168627,0.3837167238935639,100913,0.5984391586163544
Presque Isle,7376,10893,0.677132103185532,2400,7217,0.332548150200914,4488,0.6218650408757099,8342,11545,0.7225638804677349,2911,8342,0.3489570846319827,5342,0.6403740110285303
Roscommon,13242,21706,0.610061734082742,4287,13036,0.328858545566125,8141,0.624501380791654,15018,22951,0.6543505729597839,5166,15018,0.3439872153415901,9670,0.6438939938740178
STATEWIDE,4874619,7514055,0.6487334734707161,2268839,4790329,0.4736290555408621,2279543,0.47586355759698296,5538212,8083654,0.6851124503844425,2804040,5538212,0.5063078119797508,2649852,0.4784670575990952
Saginaw,95604,150018,0.637283525976883,44396,94199,0.47130011995881105,45469,0.48269089905413004,103347,156502,0.6603557782009175,51088,103347,0.4943346202599011,50785,0.4914027499588764
Sanilac,19520,29510,0.661470687902406,4873,19243,0.253234942576521,13446,0.6987475965286079,22446,31604,0.71022655360081,5966,22446,0.26579345985921765,16194,0.7214648489708634
Schoolcraft,4232,6791,0.623177735237815,1369,4151,0.32980004818116104,2556,0.615755239701277,4745,7227,0.6565656565656566,1589,4745,0.33487881981032663,3090,0.6512118018967334
Shiawassee,34643,52779,0.656378483866689,12546,34041,0.368555565347669,19230,0.564907023882965,39220,55825,0.7025526197939991,15347,39220,0.391305456399796,23149,0.5902345741968383
St. Clair,79143,124354,0.636433086189427,24553,77947,0.31499608708481397,49051,0.6292865665131441,92063,134201,0.6860083009813638,31363,92063,0.3406688897819971,59185,0.6428749877801071
St. Joseph,24175,43970,0.549806686377075,7526,23757,0.31679084059435103,14884,0.626510081239214,27935,47356,0.5898935720922375,9262,27935,0.3315553964560587,18127,0.6488992303561839
Tuscola,26144,40793,0.64089427107592,7429,25762,0.28837046813135603,17102,0.663845974691406,29442,42846,0.6871586612519255,8712,29442,0.29590381088241285,20297,0.6893893077915902
Van Buren,33857,55350,0.6116892502258361,13258,33213,0.39918104356727796,17890,0.538644506669075,39063,60690,0.6436480474542758,16803,39063,0.430151294063436,21591,0.5527225251516781
Washtenaw,191473,285272,0.6711945091000869,128483,187994,0.683442024745471,50631,0.26932242518378197,216280,317585,0.6810145315427366,157136,216280,0.7265396707971149,56241,0.2600379138154245
Wayne,788459,1339831,0.588476457105411,519444,777177,0.6683728417078729,228993,0.294647165317553,872383,1403004,0.6217965166172014,597170,872383,0.6845273234347757,264553,0.3032532729317284
Wexford,15494,25289,0.6126774486931079,4436,15279,0.290333136985405,10000,0.654493095097847,18265,27441,0.6656098538682993,5838,18265,0.3196277032575965,12102,0.6625787024363536
