county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Santa Rosa,89104,130840,0.6810149801284011,18464,87744,0.21043034281546302,65339,0.744654905178702,87745,145810,0.6017762842054729,18464,87744,0.2104303428154632,65339,0.7446549051787017
Sarasota,233438,301926,0.7731629604605099,97870,229058,0.427271695378463,124438,0.543259785731125,229063,340092,0.6735324559236913,97870,229058,0.4272716953784631,124438,0.5432597857311249
Seminole,229231,291964,0.785134468633119,105914,224887,0.470965418187801,109443,0.48665774366681896,224896,335172,0.6709868366092633,105914,224887,0.470965418187801,109443,0.4866577436668194
St. Johns,138664,173203,0.800586594920411,43099,136513,0.315713521789134,88684,0.649637763436449,136514,210059,0.6498840801869951,43099,136513,0.31571352178913364,88684,0.6496377634364493
St. Lucie,143057,194368,0.7360110717813629,66881,140847,0.47484859457425393,70289,0.499045063082636,140847,223640,0.6297934179932033,66881,140847,0.4748485945742543,70289,0.4990450630826357
Sumter,77811,92153,0.844367519234317,22638,76664,0.295288531775018,52730,0.6878065324011271,76665,105612,0.7259118282013407,22638,76664,0.29528853177501824,52730,0.6878065324011271
Suwannee,18904,26422,0.715464385739157,3964,18693,0.212057989621784,14287,0.764296795591933,18694,27728,0.6741921523369879,3964,18693,0.21205798962178354,14287,0.7642967955919328
Taylor,9408,12303,0.7646915386491101,2152,9290,0.23164693218514498,6930,0.745963401506997,9290,12779,0.7269739416229752,2152,9290,0.2316469321851453,6930,0.7459634015069968
Union,5755,7256,0.7931367144432192,1014,5694,0.178082191780822,4568,0.8022479803301721,5694,7718,0.7377558953096657,1014,5694,0.1780821917808219,4568,0.8022479803301721
Volusia,265202,363438,0.7297035532883192,109091,260860,0.418197500575021,143007,0.548213601165376,260869,398530,0.6545780744235064,109091,260860,0.4181975005750211,143007,0.5482136011653761
Wakulla,15527,20045,0.7746071339486159,4348,15350,0.28325732899022804,10512,0.6848208469055369,15351,22909,0.6700859924047318,4348,15350,0.28325732899022804,10512,0.6848208469055375
Walton,34080,46645,0.7306249330046091,6876,33637,0.20441775425870298,25756,0.765704432618842,33637,58057,0.5793788862669446,6876,33637,0.2044177542587032,25756,0.7657044326188424
Washington,11293,15172,0.7443316635908249,2264,11156,0.202940121907494,8637,0.774202223019003,11156,17191,0.6489442149962189,2264,11156,0.20294012190749366,8637,0.7742022230190032
STATEWIDE,9580489,12863773,0.744765085640115,4504975,9419886,0.47824092563328297,4617886,0.49022737642472497,9420039,14441869,0.6522728464023597,4504975,9419886,0.4782409256332826,4617886,0.4902273764247253
